name,title,universe
G001,Geography Identifiers,none
A00001,Total Population,Total Population
A00002,Population Density (Per Sq. Mile),Total Population
A00003,Land Area (Sq. Miles),Area Total
A02001,Sex,Total Population
A02002,Sex by Age,Total Population
A02002A,Sex by Age - Cumulative (Less),Total Population
A02002B,Sex by Age - Cumulative (More),Total Population
B02002,Sex by Age (Collapsed Version),Total Population
A01001,Age,Total Population
A01001A,Age - Cumulative (Less),Total Population
A01001B,Age - Cumulative (More),Total Population
C01001,Age (Detailed Version),Total population
C01001A,Age (Detailed Version) - Cumulative (Less),Total population
C01001B,Age (Detailed Version) - Cumulative (More),Total population
B01001,Age (Short Version),Total Population
A01002B,Age for Male Population (Short Version),Male Population
A01002A,Age for Female Population (Short Version),Female Population
A01004,Median Age by Sex,Total Population
A03001,Race,Total Population
A04001,Hispanic or Latino by Race,Total Population
A04002,Hispanic or Latino by Specific Origin,Total population
A03002,Asian by Specific Origin (Asian with One Asian Category for Selected Groups),Total Asian categories tallied for people with one Asian category only and people with no specific Asian category reported
A10008,Households by Household Type,Households
A10025,Housing Units by Household Type (Including Living Alone) and Age of Householder,Universe:  Occupied housing units
A10004B,Household Type (Including Living Alone) and Age of Householder (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10024,Housing Units by Household Size,Universe:  Occupied housing units
A10002B,Household Size (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10022,Housing Units by Families and Presence of Own Children,Universe:  Occupied housing units
A10005B,Families and Presence of Own Children (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10009,Households by Presence of People Under 18 Years by Household Type,Households
A10010,Households by Race of Householder,Households
A03001B,Race (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10023,Housing Units by Hispanic Status of Householder,Universe:  Occupied housing units
A10020,Housing Units by Age of Householder,Universe:  Occupied housing units
A01003B,Age of Householder (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10007,Population in Households by Household Type and Relationship,Total Population
A10003,Average Household Size,Occupied Households
A10003B,Average Household Size of Renter-Occupied Housing Units,Universe:  Renter-Occupied Housing Units
A11001,Marital Status for the Population 15 Years and Over,Population 15 Years and Over
A11002,Unmarried-Partner Households by Sex of Partners,Households
A19001,Group Quarters Population,Total Population
A12001,Educational Attainment for Population 25 Years and Over,Population 25 Years and Over
A12002,Highest Educational Attainment for Population 25 Years and Over,Population 25 Years and Over
A12001A,Educational Attainment for Male Population 25 Years and Over,Male Population 25 Years and Over
A12002A,Highest Educational Attainment for Male Population 25 Years and Over,Male Population 25 Years and Over
A12001B,Educational Attainment for Female Population 25 Years and Over,Female Population 25 Years and Over
A12002B,Highest Educational Attainment for Female Population 25 Years and Over,Female Population 25 Years and Over
A10021,Housing Units by Educational Attainment of Householder,Universe:  Occupied housing units
A12005B,Educational Attainment of Householder (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A12004,School Enrollment for the Population 3 Years and Over,Population 3 Years and Over
A12006,Level of School by Type of School for Enrolled in School Population 3 Years and Over,Population 3 Years and Over Enrolled in School
A12003,School Dropout Rate for Population 16 to 19 Years,Civilian Population 16 to 19 Years
A12003A,School Dropout Rate for Male Population 16 to 19 Years,Male Civilian Population 16 to 19 Years
A12003B,School Dropout Rate for Female Population 16 to 19 Years,Female Civilian Population 16 to 19 Years
A17002,Employment Status for Total Population 16 Years and Over,Population 16 Years and Over
A17002A,Employment Status for Male Population 16 Years and Over,Male Population 16 Years and Over
A17002B,Employment Status for Female Population 16 Years and Over,Female Population 16 Years and Over
A17010,Ratio of Female to Male Labor Force Participation Rate,In Labor Force 16 Years and Over:
A17001,Labor Force for Population 16 Years and Over,In Labor Force 16 Years and Over:
A17005,Unemployment Rate for Civilian Population in Labor Force 16 Years and Over,Civilian Population in Labor Force 16 Years and Over:
A17005A,Unemployment Rate for Civilian Male Population,Civilian Male in Labor Force 16 Years and Over:
A17005B,Unemployment Rate for Civilian Female Population,Civilian Female in Labor Force 16 Years and Over:
A17006A,Unemployment Rate for the Population 16 Years and Over (White Alone),White 16 Years Old in Civilian Labor Force
A17006B,Unemployment Rate for the Population 16 Years and Over (Black or African American Alone),Black or African American 16 Years Old in Civilian Labor Force
A17006C,Unemployment Rate for the Population 16 Years and Over (American Indian and Alaska Native Alone),American Indian and Alaska Native 16 Years Old in Civilian Labor Force
A17006D,Unemployment Rate for the Population 16 Years and Over (Asian Alone),Asian 16 Years Old in Civilian Labor Force
A17006E,Unemployment Rate for the Population 16 Years and Over (Native Hawaiian and Other Pacific Islander Alone),Native Hawaiian and Other Pacific Islander 16 Years Old in Civilian Labor Force
A17006F,Unemployment Rate for the Population 16 Years and Over (Some Other Race Alone),Some Other Race 16 Years Old in Civilian Labor Force
A17006G,Unemployment Rate for the Population 16 Years and Over  (Two or More Races),Two or More races 16 Years Old in Civilian Labor Force
A17006H,Unemployment Rate for the Population 16 Years and Over (Hispanic or Latino),Hispanic or Latino 16 Years Old in Civilian Labor Force
A17006I,"Unemployment Rate for the Population 16 Years and Over (White Alone, Not Hispanic or Latino)","White Alone, Not Hispanic or Latino 16 Years Old in Civilian Labor Force"
A17004,Industry by Occupation for Employed Civilian Population 16 Years and Over,Civilian employed population 16 years and Over
B17008,Occupation for Employed Civilian Population 16 Years and Over,Employed civilian Population 16 Years and Over
A17007A,Occupation for Male Employed Civilian Population 16 Years and Over,Male Employed civilian Population 16 Years and Over
A17007B,Occupation for Female Employed Civilian Population 16 Years and Over,Female Employed civilian Population 16 Years and Over
A17009,Employment Sector for Employed Civilian Population 16 Years and Over,Total Employed Civilian Population 16 Years and Over
A17003A,Employment Sector for Male Employed Civilian Population 16 Years and Over,Male Employed Civilian Population 16 Years and Over
A17003B,Employment Sector for Female Employed Civilian Population 16 Years and Over,Female Employed Civilian Population 16 Years and Over
A14001,Household Income (In <DollarYear> Inflation Adjusted Dollars),Households
A14001A,Household Income (In <DollarYear> Inflation Adjusted Dollars) - Cumulative (Less),Households
A14001B,Household Income (In <DollarYear> Inflation Adjusted Dollars) - Cumulative (More),Households
A14002,Household Income in the Past 12 Months (In <DollarYear> Inflation-Adjusted Dollars) (Additional Version),Universe:  Occupied housing units
A14002A,Household Income in the Past 12 Months (In <DollarYear> Inflation-Adjusted Dollars) (Additional Version) - Cumulative (Less),Universe:  Occupied housing units
A14002B,Household Income in the Past 12 Months (In <DollarYear> Inflation-Adjusted Dollars) (Additional Version) - Cumulative (More),Universe:  Occupied housing units
A14003B,Household Income in the Past 12 Months (In <DollarYear> Inflation-Adjusted Dollars) (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10026,Housing Units by Housing Costs as a Percentage of Household Income in the Past 12 Months,Universe:  Occupied housing units
A14006,Median Household Income (In <DollarYear> Inflation Adjusted Dollars),Households
A14007,Median Household Income by Race (In <DollarYear> Inflation Adjusted Dollars),Households
A14008,Average Household Income (In <DollarYear> Inflation Adjusted Dollars),Households
A14009,Average Household Income by Race (In <DollarYear> Inflation Adjusted Dollars),Households by Race
A14010,Median Family Income (In <DollarYear> Inflation Adjusted Dollars),Families
A14011,Average Family Income (In <DollarYear> Inflation Adjusted Dollars),Families
A14012,Median Nonfamily Household Income (In <DollarYear> Inflation Adjusted Dollars),Nonfamily Households
A14013,Average Non-Family Income (In <DollarYear> Inflation Adjusted Dollars),Nonfamily Households
A14014,Median Income by Sex by Work Experience (In <DollarYear> Inflation Adjusted Dollars) (For Population Age 15+),Population 15 years and Over with income in the past 12 months
A15001,Median Earnings by Sex by Educational Attainment in the past 12 months (In <DollarYear> Inflation Adjusted Dollars) (For Population Age 25+),Population 25 years and Over with earnings
A14015,Median Household Income by Tenure (In <DollarYear> Inflation Adjusted Dollars),Occupied housing units
A14016,Median Household Income the Past 12 Months (In <DollarYear> Inflation-Adjusted Dollars) (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A14018,Aggregate Household Income (In <DollarYear> Inflation Adjusted Dollars),Households
A14019,Aggregate Household Income (In <DollarYear> Inflation Adjusted Dollars) by Race,Households
A14020,Aggregate Family Income (In <DollarYear> Inflation Adjusted Dollars),Families
A14021,Aggregate Nonfamily Household Income (In <DollarYear> Inflation Adjusted Dollars),Nonfamily Households
A14022,Aggregate Income (In <DollarYear> Inflation Adjusted Dollars) for Population 15 Years and Over,Population 15 Years and Over
A14023,Aggregate Income (In <DollarYear> Inflation Adjusted Dollars) by Race for Population 15 Years and Over,Population 15 Years and Over
A10011,Households with Earnings,Households
A10019,Households with Wage or Salary Income,Households
A10016,Households with Self-Employment Income,Households
A10012,"Households with Interest, Dividends, or Net Rental Income",Households
A10017,Households with Social Security Income,Households
A10018,Households with Supplemental Security Income (Ssi),Households
A10014,Households with Public Assistance Income,Households
A10015,Households with Retirement Income,Households
A10013,Households with Other Types of Income,Households
